,0,1,2,3,4
0,آلتون,نهال,جواهر,سحرخیز,زر
1,آلتون,جواهر,آلتون,گنج,جواهر
2,گنج,تابش,گنج,جواهر,نهال
3,نهال,كهربا,مثقال,ناب,سحرخیز
4,نهال,سحرخیز,ارزش مسکن,نهال,سحرخیز
5,ارزش مسکن,صنوین,صدف,گلدیرا,رماس
6,ارزش مسکن,صدف,سحرخیز,گارانتی,صدف
7,صدف,صدف,گنج,صدف,آلتون
8,گنج,آلتون,نهال,طلا,گوهر
9,نهال,گوهر,خودران,پالایش,موج
10,گوهر,خودران,رماس,فراز,نفيس
11,گوهر,نفيس,موج,كهربا,تيام
12,گوهر,موج,موج,سمان,ثنا
13,گوهر,سمان,كهربا,عيار,زر
14,عيار,زر,نهال,سحرخیز,گارانتی
15,عيار,نهال,گنج,نهال,نفيس
16,نهال,نهال,ارزش مسکن,گلدیرا,خودران
17,ارزش مسکن,گلدیرا,ارزش مسکن,عيار,امین شهر
18,عيار,امین شهر,بازبیمه,امین شهر,گارانتی
19,گارانتی,پایش,دانیک,صنوین,اونیکس
20,دانیک,اونیکس,نهال,سحرخیز,دانیک
21,دانیک,دانیک,دانیک,اطلس,ثهام
22,سحرخیز,نهال,نگین,زرفام,امین شهر
23,نگین,امین شهر,ارزش مسکن,پالایش,آذرین
24,نگین,آذرین,دارا یکم,نگین,آذرین
25,دارا یکم,موج,گلدیرا,دارا یکم,گنج
26,موج,بیدار,نارنج اهرم,هامون,اکسیژن
27,موج,بیدار,ثنا,فراز,پرتو
28,موج,پرتو,سپینود,پتروصبا,موج
29,سپینود,پتروصبا,گلدیرا,آبنوس,پتروآگاه
30,سپینود,آبنوس,زر,عيار,طلا
31,زر,عيار,آذرین,زر,عيار
32,آذرین,ارزش مسکن,مرواريد,پتروما,هم وزن
33,آذرین,مرواريد,موج,بیدار,نارین
34,موج,بیدار,موج,نارنج اهرم,بیدار
35,موج,موج,ارزش مسکن,ويستا,گلدیرا
36,ارزش مسکن,گلدیرا,گلدیرا,خودران,تخت گاز
37,گلدیرا,گلدیرا,گلدیرا,ويستا,فارما کیان
38,فارما کیان,نارنج اهرم,دارا یکم,رویین,زرین
39,فارما کیان,زرین,سحرخیز,نهال,زرفام
40,فارما کیان,زرفام,پتروپاداش,آوا,تخت گاز
41,زرفام,آوا,زر,زرفام,گنج
42,زر,زر,نفيس,زرفام,كهربا
43,زرفام,كهربا,ارزش مسکن,موج,فراز
44,ارزش مسکن,موج,ارزش مسکن,کارآمد,نگین
45,ارزش مسکن,ارزش مسکن,ارزش مسکن,جهش,بیدار
46,ارزش مسکن,بیدار,فراز,دانیک,خودران
47,بیدار,فراز,صنم,موج,بیدار
48,بیدار,بیدار,بیدار,سپینود,جهش
49,جهش,دارا یکم,دانیک,اهرم,جهش
50,دارا یکم,خلیج,پتروآبان,پتروما,دارا یکم
51,پتروآبان,پالایش,پتروفارس,موج,بیدار
52,پتروآبان,موج,دانیک,نگین,فارما کیان
53,موج,فارما کیان,فارما کیان,سیمانیا,موج
54,فارما کیان,فارما کیان,نهال,سحرخیز,پرتو
55,نهال,پرتو,زر,عيار,آلتون
56,نهال,عيار,پتروفارس,پتروداریوش,پتروصبا
57,نهال,عيار,گلدیرا,نفيس,زرفام
58,عيار,نفيس,نفيس,جواهر,آلتون
59,عيار,آلتون,ارزش مسکن,آلتون,مثقال
60,عيار,ارزش مسکن,موج,نارنج اهرم,بیدار
61,ارزش مسکن,نارنج اهرم,ارزش مسکن,آسامید,بهین رو
62,آسامید,نفيس,گنج,ناب,كهربا
63,ناب,كهربا,عيار,تابش,گوهر
64,ناب,گوهر,جواهر,دارا یکم,گوهر
65,دارا یکم,آسامید,نارنج اهرم,ثروتم,گنجین
66,دارا یکم,نارنج اهرم,کلید,ارزش مسکن,دانیک
67,دارا یکم,نارنج اهرم,دارا یکم,نارنج اهرم,موج
68,نارنج اهرم,نارنج اهرم,نارنج اهرم,جهش,صنم
69,سمان,سیمانیا,نارنج اهرم,فارما کیان,پالایش
70,سیمانیا,فارما کیان,بهین رو,زر,تمشک
71,سیمانیا,بهین رو,پالایش,سپینود,نارنج اهرم
72,سیمانیا,پالایش,ثنا,آسامید,زر
73,سیمانیا,ثنا,فارما کیان,مالک آتیه,عرش
74,ثنا,عرش,سحرخیز,رماس,تمشک
